School name,Suggested Mascot,website,osmLink
Hemby Bridge Elementary,Bulldogs,https://www.ucps.k12.nc.us/Domain/17,https://www.openstreetmap.org/way/862806256
Imperial Elementary School,Bulldogs,https://web.dusd.net/imperial/,https://www.openstreetmap.org/way/876414599
Gibsonton Elementary School,Bulldogs,https://www.hillsboroughschools.org/gibsonton,https://www.openstreetmap.org/way/980723867
Bucknell Elementary School,Bulldogs,https://bucknelles.fcps.edu,https://www.openstreetmap.org/way/1090781582
Baldwin Elementary School - Primary Center,Bullpups,http://www.usd348.com/schools/bespc/,https://www.openstreetmap.org/way/1290703427
Baldwin Elementary School - Intermediate Center,Bullpups,http://www.usd348.com/schools/besic/,https://www.openstreetmap.org/way/1290703436
Bull Run Elementary School,Bulls,https://bullrunes.fcps.edu/,https://www.openstreetmap.org/way/231329852
Sally Mauro Elementary School,Bulls,https://www.carbonschools.org/o/sally-mauro-elementary,https://www.openstreetmap.org/way/428033056
Adamsville Elementary School,Cardinals,https://aes.mcnairycountyschools.com/,https://www.openstreetmap.org/node/356848870
Southwest Elementary,Cardinals,https://www.lawsoncardinals.org/page/southwest-elementary,https://www.openstreetmap.org/way/348009762
Cherry Run Elementary School,Cardinals,https://cherryrunes.fcps.edu/,https://www.openstreetmap.org/way/638802515
Lewiston Elementary School,Cardinals,https://www.jlas.org/,https://www.openstreetmap.org/way/717276683
Crestview Elementary School,CATS,https://crestview.simivalleyusd.org/,https://www.openstreetmap.org/node/358782697
Red Mountain Ranch Elementary School,CHALLENGERS,https://www.mpsaz.org/rmre,https://www.openstreetmap.org/way/1120930273
Cheyenne Elementary School,Chiefs,https://www.peoriaunified.org/Cheyenne,https://www.openstreetmap.org/way/118265778
Santa Fe Elementary School,Chiefs,https://www.santafechiefs.k12.mo.us/o/santa-fe-elementary-school,https://www.openstreetmap.org/way/870930049
Peachland Polkton Elementary School,Colts,https://www.ansonschools.org/PPES/,https://www.openstreetmap.org/way/435090318
Green Valley Elementary School,Colts,https://gves.srvusd.net,https://www.openstreetmap.org/way/469234680
Walzem Elementary School,Colts,https://www.neisd.net/walzem,https://www.openstreetmap.org/way/594287055
Moriarty Elementary School,Colts,https://mms.mesd.us/,https://www.openstreetmap.org/way/1148663304
Cascade Elementary School,cougar,https://www.msd25.org/o/cascade-elementary-school,https://www.openstreetmap.org/way/219716084
Fort Sam Houston Elementary School,Cougar,https://fshelem.fshisd.net/,https://www.openstreetmap.org/way/246734057
Cotton Creek Elementary School,Cougars,https://cotton.adams12.org/,https://www.openstreetmap.org/way/48116312
Sutherland Elementary School,Cougars,https://www.sutherlandcougars.org/,https://www.openstreetmap.org/way/48204353
Carnegie Elementary School,Cougars,https://carnegie.cps.edu/,https://www.openstreetmap.org/way/182015262
Gold Camp Elementary School,Cougars,https://gce.cmsd12.org/,https://www.openstreetmap.org/way/232727358
Haycock Elementary School,Cougars,https://haycockes.fcps.edu/,https://www.openstreetmap.org/way/239022347
Cayetano Cavazos Elementary School,Cougars,https://cavazos.ecisd.us/,https://www.openstreetmap.org/way/378772942
Cowpens Elementary School,Cougars,http://cowpens.spartanburg3.org/,https://www.openstreetmap.org/way/423232816
Canterbury Woods Elementary School,Cougars,https://canterburywoodses.fcps.edu/,https://www.openstreetmap.org/way/519185224
Longfellow Elementary School,Cougars,https://longfellow.boiseschools.org/,https://www.openstreetmap.org/way/661934961
Creekview Elementary School,Cougars,https://www.middletowncityschools.com/creekview-elementary/,https://www.openstreetmap.org/way/704105939
John F. Baldwin Elementary School,Cougars,https://jbes.srvusd.net,https://www.openstreetmap.org/way/722838144
Jo Anna Connell Elementary School,Cougars,https://www.eriesd.org/connell,https://www.openstreetmap.org/way/810543437
Dr. Martin Luther King Elementary School,Cougars,https://www.whd147.org/schools/martin-luther-king-elementary/,https://www.openstreetmap.org/way/1239172215
Keller Elementary School,COUGARS,https://www.mpsaz.org/keller,https://www.openstreetmap.org/way/1411676532
Crismon Elementary School,Cougars,https://www.mpsaz.org/crismon,https://www.openstreetmap.org/way/1412618912
Applegate Elementary School,Cougars,https://www.cal.k12.or.us/page/contact-us,https://www.openstreetmap.org/way/1452567585
Codington Elementary School,Cougars,https://codington.nhcs.net/,https://www.openstreetmap.org/relation/13095666
Pleasant Valley Elementary - Junior High School,Cowboys,https://www.pleasantvalleyschools.org/,https://www.openstreetmap.org/way/1268046866
John Kerr Elementary School,COYOTES,https://www.mpsaz.org/kerr,https://www.openstreetmap.org/way/35708020
Crestmont Elementary School,Coyotes,https://crestmont.rcsdk8.org/,https://www.openstreetmap.org/way/121005384
Patterson Elementary School,COYOTES,https://www.mpsaz.org/patterson,https://www.openstreetmap.org/way/170998281
F. O. Holaway Elementary School,Coyotes,https://holaway.amphi.com/,https://www.openstreetmap.org/way/229488464
Denair Elementary School,Coyotes,https://deca.denairusd.org/,https://www.openstreetmap.org/way/585628875
Hassayampa Elementary School,Coyotes,https://www.wickenburgschools.org/Domain/9,https://www.openstreetmap.org/way/769561541
Las Sendas Elementary School,COYOTES,https://lassendas.mpsaz.org,https://www.openstreetmap.org/way/1259130888
Kimbark Elementary School,Coyotes,https://kimbark.sbcusd.com,https://www.openstreetmap.org/way/1450652434
Island Creek Elementary School,Crocs,https://islandcreekes.fcps.edu/,https://www.openstreetmap.org/relation/1937098
Coker Elementary School,Cubs,https://www.neisd.net/coker/,https://www.openstreetmap.org/way/303129809
Cedarwood Elementary School,Cubs,https://cedarwood.pusdk12.org/,https://www.openstreetmap.org/way/657363284
Howard J McKibben Elementary School,Cubs,https://mckibben.swhittier.k12.ca.us/,https://www.openstreetmap.org/way/730952529
SGA Elementary School,Cubs,https://sga.burke.k12.ga.us/,https://www.openstreetmap.org/way/736911796
Cucamonga Elementary School,Cubs,https://ces.cuca.k12.ca.us,https://www.openstreetmap.org/way/832401496
Centennial Elementary School,Cubs,https://www.ruesd.net/o/centennial,https://www.openstreetmap.org/way/1450994215
Westfield Elementary School,Cyclones,https://www.whsd1.org,https://www.openstreetmap.org/node/354154927
Kenneth Divich Elementary,Divich,https://www.divichelementary.org/,https://www.openstreetmap.org/way/799153641
Dixie Elementary School,Dixie,https://www.newlebanonschools.org/,https://www.openstreetmap.org/way/936158897
North River Elementary School,Dolphins,https://www.northriveres.org/,https://www.openstreetmap.org/way/27862270
Dare Elementary School,Dolphins,https://ycsd.yorkcountyschools.org/DES,https://www.openstreetmap.org/way/50884922
Lake Anne Elementary School,Dolphins,https://lakeannees.fcps.edu/,https://www.openstreetmap.org/way/79666016
Mabry Elementary School,Dolphins,https://www.hillsboroughschools.org/mabry,https://www.openstreetmap.org/way/120926812
Dellview Elementary School,Dolphins,https://www.neisd.net/dellview,https://www.openstreetmap.org/way/133581801
Samuel R. Donald Elementary School,Dolphins,https://srd.bpsnj.org/,https://www.openstreetmap.org/way/276388366
Lake Forest Hills Elementary School,Dolphins,http://lforest-hills.rcboe.org/,https://www.openstreetmap.org/way/301418466
Ridgebrook Elementary School,Dolphins,https://ridgebrook.parmacityschools.org/,https://www.openstreetmap.org/way/479766043
Dickenson Elementary School,dolphins,https://www.hillsboroughschools.org/dickenson,https://www.openstreetmap.org/way/523040785
Lanier Elementary School,Dolphins,https://www.hillsboroughschools.org/lanier,https://www.openstreetmap.org/way/523360683
Lunada Bay Elementary School,Dolphins,https://lunadabay.pvpusd.net/,https://www.openstreetmap.org/way/548811466
Carmela Elementary School,Dolphins,https://carmela.swhittier.k12.ca.us/,https://www.openstreetmap.org/way/797763366
Fort Belvoir Elementary School,Dolphins,https://www.fcps.edu/FtBelvoirES/,https://www.openstreetmap.org/relation/1687494
Dubois Elementary School,Dragons,https://www.sps186.org/o/dubois,https://www.openstreetmap.org/node/354101921
Ethel Phillips Elementary School,dragons,https://ethelphillips.scusd.edu/,https://www.openstreetmap.org/node/358772629
Thomas W Bacchus Elementary School,Dragons,https://schools.graniteschools.org/bacchus/,https://www.openstreetmap.org/way/38452221
Los Amigos Elementary School,Dragons,https://lae.cuca.k12.ca.us,https://www.openstreetmap.org/way/39888744
Davis Elementary School,Dragons,https://www.hillsboroughschools.org/davis,https://www.openstreetmap.org/way/89634654
Dever Elementary School,Dragons,https://dever.cps.edu/,https://www.openstreetmap.org/way/96841135
Snow Springs Elementary School,Dragons,https://snowsprings.alpineschools.org/,https://www.openstreetmap.org/way/101050659
Ishikawa Elementary School,Dragons,https://www.mpsaz.org/ishikawa,https://www.openstreetmap.org/way/150793346
Seitz Elementary,Dragons,https://seitzelementary.usd475.org/,https://www.openstreetmap.org/way/446197767
Dunseith Elementary School,Dragons,https://www.dunseith.k12.nd.us/,https://www.openstreetmap.org/way/812914686
Harding Elementary School,Dragons,https://www.eriesd.org/harding,https://www.openstreetmap.org/way/825529109
Colvin Run Elementary School,Dragons,https://colvinrunes.fcps.edu/,https://www.openstreetmap.org/way/1123860558
North Webster Upper Elementary School,Dragons,https://nwues.websterpsb.org/,https://www.openstreetmap.org/way/1328612860
Marlin Elementary School,Dragons,https://marlin.mccsc.edu/,https://www.openstreetmap.org/way/1435797893
Bonita Elementary School,Dust,https://www.bonitaesd.com/,https://www.openstreetmap.org/way/1303841887
Saunemin Elementary School,Eagles,https://www.saunemin.org/,https://www.openstreetmap.org/node/354207209
Curtner Elementary School,Eagles,https://curtner.musd.org/,https://www.openstreetmap.org/way/39320310
Adams Elementary School,Eagles,https://bettyadams.jeffcopublicschools.org/,https://www.openstreetmap.org/way/47237443
Forest Edge Elementary School,Eagles,https://www.fcps.edu/ForestEdgeES/,https://www.openstreetmap.org/way/79143078
Weber Elementary School,Eagles,https://weber.jeffcopublicschools.org/,https://www.openstreetmap.org/way/86979914
Anderson Elementary School,Eagles,https://www.hillsboroughschools.org/anderson,https://www.openstreetmap.org/way/106962657
Paris Elementary School,Eagles,https://www.parisschools.org/o/pes,https://www.openstreetmap.org/way/117439060
